# vol3 -s ../symbols -f memory.elf linux.pslist | tee pslist.txt
Volatility 3 Framework 2.7.0
Progress:  100.00		Stacking attempts finished                  
OFFSET (V)	    PID 	TID	    PPID	COMM	        File output
0x9a738c464980	3089	3089	1	    smond	        Disabled
0x9a738c460000	3095	3095	1	    ledmgrd	        Disabled
0x9a73b6fa3100	3096	3096	1	    pwmd	        Disabled
0x9a738e781880	3187	3187	1	    dhclient	    Disabled
0x9a7382fc0000	3306	3306	1	    lldpd	        Disabled
0x9a73b6f53100	3310	3310	1	    python	        Disabled
0x9a73b6f51880	3313	3313	1	    ptmd	        Disabled
0x9a738e5e4980	3314	3314	1	    agetty	        Disabled
0x9a73839bc980	3316	3316	1	    sysmonitor	    Disabled
0x9a73828ce200	3317	3317	1	    netqd	        Disabled
0x9a73d19d9880	3321	3321	1	    sshd	        Disabled
0x9a738e731880	3334	3334	1	    watchfrr	    Disabled
0x9a738c41b100	3352	3352	3306	lldpd	        Disabled
0x9a73d19d8000	3356	3356	1	    neighmgrd	    Disabled
0x9a7392ff0000	3397	3397	1	    zebra	        Disabled
0x9a7392f68000	3460	3460	1	    staticd         Disabled
0x9a73c1668000	5226	5226	1	    nginx           Disabled
0x9a7382fc3100	5227	5227	5226	nginx	        Disabled
0x9a738e736200	5228	5228	5226	nginx	        Disabled
0x9a73c1726200	6985	6985	1	    anssible	    Disabled
0x9a738e783100	8065	8065	3316	sleep	        Disabled
0x9a73c1723100	8119	8119	3022	less	        Disabled
